booking_id,customer_id,returning_customer,customer_age,tour_id,departure_id,tour_name,location,region,tour_type,customer_origin,booking_segment,booking_channel,booking_stage,unit_price_vnd,adults,children,infants,participants,booking_date,travel_start,travel_end,season,weather_condition,status,post_tour_rating,revenue_vnd,total_cost_vnd,profit_vnd
B000001,CUST00001,FALSE,38,T168,T168_PV_Co_240110_000000,Tour Phú Quốc 3N2Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Corporate,Agent,Early,2260000,19,0,0,19,12/8/2023,1/10/2024,1/12/2024,Winter,Sunny,Completed,4.9,42940000,33540000,9400000
B000002,CUST00002,FALSE,35,T145,T145_SH_Fa_230618_0214,Tour Đà Nẵng 4N3Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Family,Agent,Early,2280000,2,2,0,4,5/11/2023,6/18/2023,6/21/2023,Summer,Rainy,Completed,4.1,7300000,5010000,2290000
B000003,CUST00003,FALSE,21,T273,T273_SH_Gr_241204_0402,Tour Cần Thơ 3N2Đ - Cultural,Cần Thơ,Nam Bộ,Cultural,Domestic,Group,Website,Normal,1330000,10,0,0,10,11/12/2024,12/4/2024,12/6/2024,Winter,Sunny,completed,4.2,13300000,9010000,4290000
B000004,CUST00004,FALSE,34,T054,T054_SH_Co_220418_0082,Tour Nha Trang 3N2Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Domestic,Couple,OTA,Early,1890000,2,0,0,2,3/17/2022,4/18/2022,4/20/2022,Spring,Rainy,Completed,3.8,3780000,2630000,1150000
B000005,CUST00004,TRUE,60,T147,T147_SH_Fo_241230_0163,Tour Ninh Bình 4N3Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Foreign,Foreign,OTA,Normal,1620000,4,0,0,4,12/8/2024,12/30/2024,1/2/2025,Winter,Sunny,Completed,4.4,6480000,4340000,2140000
B000006,CUST00005,FALSE,35,T214,T214_SH_So_240221_0136,Tour Vũng Tàu 5N4Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Solo,Social,Normal,3220000,1,0,0,1,2/8/2024,2/21/2024,2/25/2024,Spring,Sunny,Completed,4.7,3220000,2340000,880000
B000007,CUST00006,FALSE,38,T077,T077_PV_Co_231024_000006,Tour Hà Giang 3N2Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Corporate,Website,Normal,1330000,13,0,0,13,10/3/2023,10/24/2023,10/26/2023,Autumn,Sunny,Completed,5,17290000,12720000,4570000
B000008,CUST00007,FALSE,38,T176,T176_SH_Fa_240930_0045,Tour Hà Nội 3N2Đ - Cultural,Hà Nội,Bắc Bộ,Cultural,Domestic,Family,Agent,Early,1510000,4,4,0,8,8/28/2024,9/30/2024,10/2/2024,Autumn,Sunny,Completed,5,9660000,7690000,1970000
B000009,CUST00008,FALSE,22,T168,T168_SH_Gr_230223_0283,Tour Phú Quốc 3N2Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Group,OTA,Normal,1560000,10,0,0,10,2/2/2023,2/23/2023,2/25/2023,Spring,Sunny,Completed,3.9,15600000,11250000,4350000
B000010,CUST00009,FALSE,27,T347,T347_SH_Co_221130_0014,Tour Hà Giang 3N2Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Couple,Hotline,Late,1250000,2,0,0,2,,11/30/2022,12/2/2022,Winter,Sunny,Completed,3.3,2500000,1880000,620000
B000011,CUST00010,FALSE,58,T235,T235_SH_Fo_241124_0205,Tour Huế 2N1Đ - Cultural,Hue,Bắc Trung Bộ,Cultural,Foreign,Foreign,web ,Normal,1030000,3,0,0,3,11/10/2024,11/24/2024,11/25/2024,Winter,Sunny,Completed,4.6,3090000,2370000,720000
B000012,CUST00011,FALSE,30,T034,T034_SH_So_230928_0029,Tour Sa Pa 3N2Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Solo,OTA,Late,1380000,1,0,0,1,,9/28/2023,9/30/2023,Autumn,Rainy,Completed,3,1380000,1040000,340000
B000013,CUST00012,FALSE,44,T170,T170_PV_Co_241027_000012,Tour Đà Lạt 3N2Đ - Mountain,DL,Tây Nguyên,Mountain,Domestic,Corporate,Agent,Normal,1470000,19,0,0,19,10/2/2024,10/27/2024,10/29/2024,Autumn,Sunny,completed,4.4,27930000,20050000,7880000
B000014,CUST00013,FALSE,45,T032,T032_SH_Fa_230909_0100,Tour Nha Trang 3N2Đ - Cultural,Nha Trang,Nam Trung Bộ,Cultural,Domestic,Family,Agent,Normal,1280000,3,2,0,5,8/11/2023,9/9/2023,9/11/2023,Autumn,Rainy,Completed,3.7,5380000,3690000,1690000
B000015,CUST00014,FALSE,23,T088,T088_SH_Gr_240317_0469,Tour Bến Tre 2N1Đ - River,Bến Tre,Nam Bộ,River,Domestic,Group,Social,Normal,740000,8,0,0,8,2/19/2024,3/17/2024,3/18/2024,Spring,Sunny,Cancelled,,0,0,0
B000016,CUST00015,FALSE,33,T125,T125_SH_Co_230527_0442,Tour Sa Pa 3N2Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Couple,Website,Normal,1370000,2,0,0,2,5/11/2023,5/27/2023,5/29/2023,Summer,Sunny,Completed,3.4,2740000,2120000,620000
B000017,CUST00016,FALSE,49,T071,T071_SH_Fo_230716_0151,Tour Đà Lạt 3N2Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Foreign,Foreign,Website,Normal,1590000,4,0,0,4,6/29/2023,7/16/2023,7/18/2023,Summer,Sunny,Completed,4.6,6360000,4590000,1770000
B000018,CUST00009,TRUE,33,T133,T133_SH_So_221011_0050,Tour Sa Pa 4N3Đ - Adventure,Sa Pa,Bắc Bộ,Adventure,Domestic,Solo,OTA,Normal,1240000,1,0,0,1,10/3/2022,10/11/2022,10/14/2022,Autumn,Sunny,Completed,3.9,1240000,910000,330000
